4398 JEJ|JUAN ROBLES|MANZANO 19|18 DE MARZO
9821 MOM|MONICA GONZALEZ|PATRIA 986|EL SAUZ
7632 DFT|DOLORES MARQUEZ|VALLARTA 110|AMERICANA
1988 MDI|ALBERTO GUZMAN|ALEMANIA 35|MODERNA
1312 ACB|JORGE FERNANDEZ|HIDALGO 987|MEZQUITAN
3322 POT|SANTIAGO VALENZUELA|MADERO 99|FRESNO
1337 KEK|ARTURO CHAD|LOPEZ MATEOS 3372|CENTRO
7645 TER|CAROLINA RIOS|FRIJOL 432|INDUSTRIAL
7651 IHN|MARTIN AGUILAR|REVOLUCION 871|OBLATOS
8723 RQA|GONZALO SANCHEZ|LEGAZPI 789|URDANETA
4400 CSG|BENITO LOPEZ|INDEPENDENCIA 192|VICTORIA
2934 NVM|ANA MENDEZ|LAZARO CARDENAS 33|TORRES
6511 HJK|RODRIGO CARRERA|JAVIER MINA 986|LA PENAL
5588 UYG|JAVIER LOZANO|REFORMA 43|LADRON DE GUEVARA
7609 CDS|IGNACIO ROMERO|GARIBALDI 743|SAN JUAN DE DIOS
6482 IOP|FELIPE VALDEZ|BELISARIO DMZ 12|SANTA MARIA
7832 HWR|CARLOS MEDEL|PURGATORIO 77|LOMAS DE POLANCO
3015 TRE|ELIAS ALATORRE|PUERTO MELAQUE 98|CUAUHTEMOC
5087 DIU|JOSE JORDAN|ISLA TORY 916|VILLA GUERRERO
3462 CIE|SOCORRO MORALES|BRONCE 648|LOMA BONITA
4096 ACU|ROMINA AHUAYO|MANDARINA 67|ABASTOS
8531 TRY|ESMERALDA MERCADO|TOPACIO 28|CIUDAD DEL SOL
2454 QDE|ROSA CUELLAR|BARLOVENTO 39|VERDE VALLE
8709 ISR|RAMON CORTEZ|SAN LUIS 287|CHAPALITA
4135 MEC|HUMBERTO DUARTE|UNION 765|OBRERA
4372 THE|JOEL ENRIQUEZ|TESORO 338|MARTIRES
8742 JED|GRISELDA COSTILLA|JUAN ESCUTIA 631|RASTRO
7643 OPR|CARMEN VALDIVIA|MORELOS 992|CENTRAL
9827 FVC|OSCAR OSORIO|LA CALMA 875|LAS AGUILAS
6742 MLK|JUANA JUAREZ|8 DE JULIO 239|MIRAVALLE
